Event Type,AS,AS2,IP,Start,End,Event Name,More info
Hijack,15169,174,64.233.161.0/24,2005-05-07 14:37:56,2005-05-09 10:52:00,Google Outage 2005,link
Hijack,13414,8342,104.244.42.0/24,2022-03-28 12:05:00,2022-03-28 12:50:00,,link
Hijack,36561,17557,208.65.153.0/24,2008-02-24 18:49:00,2008-02-24 21:01:00,YouTube Hijacking,link
Hijack,7625,9457,211.249.216.0/21,2022-02-03 01:04:00,2022-02-03 09:01:00,KlaySwap Incident ,link
Hijack,8972,55410,5.35.230.0/24,2021-04-16 13:48:00; 2021-04-16 14:25:40,,,link
Route Leak,22566,28548,201.157.49.0/24; 200.66.104.0/24; 201.157.29.0/24,2021-02-11 04:36:41,2021-02-11 04:48:21,,link
Hijack,10990,812,99.225.224.0/19,2020-07-30 01:15:38,2020-07-30 01:19:49,,link
Route Leak,1136,21217; 4134,46.145.0.0/16,2019-06-06 09:57:00,2019-06-06 11:00:00,Large European routing leak,link
Hijack,,268869,101.101.101.0/24,2019-05-08 15:08:00,2019-05-08 15:11:42,,link
Route Leak,20940,37468,2.16.0.0/13,2023-05-25 11:21:40,2023-05-25 12:41:36,,link
Hijack,16509,10297,205.251.192.0/23,2018-04-24 11:05:00,,,link
,,,,,,,
